county,state,all_residential,sf_residential,multi_residential,percent_residential,percent_multi,commute_time_in_mins,percentage_car,percentage_public,percentage_walk,percentage_wfh,percentage_occupancy,percentage_vacant,owner_below_poverty,renter_below_poverty,crime_rate,unemployment,nationalParkCount,stateParkCovergae,costOfLiving,mentalHealth
erie,ohio,29741,25648,4093,0.8623785346827612,0.13762146531723882,0.0,0.0,0.0,0.0,0.0,0.8457477392713397,0.1542522607286603,3.8,11.5,24.0,0.0512,1,0.0011,62337.92,5.0
fairfield,ohio,28540,26804,1736,0.9391730903994394,0.060826909600560614,0.0,0.0,0.0,0.0,0.0,0.9395671245157365,0.06043287548426344,4.4,15.1,25.0,0.036000000000000004,1,0.0011,70921.1,5.3
fayette,ohio,6784,6245,539,0.9205483490566038,0.07945165094339622,0.0,0.0,0.0,0.0,0.0,0.9280581220879728,0.07194187791202716,0.0,0.0,42.0,0.0401,1,0.0011,61034.28,5.8
franklin,ohio,345172,285667,59505,0.8276076854437787,0.17239231455622125,43.8,0.7538362534791411,0.018510689566111977,0.01899693965448829,0.19337747579931866,0.9302224295622505,0.0697775704377495,3.6,20.9,38.0,0.0354,1,0.0011,72589.03,5.5
fulton,ohio,7058,6550,508,0.9280249362425617,0.07197506375743837,0.0,0.0,0.0,0.0,0.0,0.9497993103058398,0.050200689694160215,0.0,0.0,14.0,0.04190000000000001,1,0.0011,66995.37,5.1
gallia,ohio,2456,2308,148,0.9397394136807817,0.06026058631921824,0.0,0.0,0.0,0.0,0.0,0.8685778108711839,0.1314221891288161,0.0,0.0,28.0,0.0493,1,0.0011,62894.23,5.6
geauga,ohio,18995,17318,1677,0.9117136088444328,0.08828639115556726,0.0,0.0,0.0,0.0,0.0,0.9476469173414576,0.05235308265854245,3.5,16.3,7.0,0.042,1,0.0011,70131.83,5.1
greene,ohio,47510,43728,3782,0.9203957061671227,0.07960429383287729,14.7,0.0,0.0,0.0,0.0,0.9368481552091511,0.06315184479084894,1.6,18.0,24.0,0.037200000000000004,1,0.0011,70887.45,5.1
guernsey,ohio,7947,7131,816,0.8973197432993583,0.10268025670064175,0.0,0.0,0.0,0.0,0.0,0.846967226050818,0.15303277394918197,0.0,0.0,14.0,0.051699999999999996,1,0.0011,62836.07,5.3
hamilton,ohio,246599,213248,33351,0.8647561425634329,0.13524385743656706,38.1,0.7672232867962405,0.03049884497721171,0.027785381877908567,0.15460496299604748,0.9158634882524438,0.08413651174755617,3.1,28.4,39.0,0.0373,1,0.0011,68470.83,5.6
hancock,ohio,17373,16242,1131,0.9348989811776895,0.06510101882231048,0.0,0.0,0.0,0.0,0.0,0.9242905957510028,0.07570940424899718,1.7,15.8,22.0,0.0339,1,0.0011,64552.45,4.9
hardin,ohio,5632,5120,512,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.9033610183963362,0.09663898160366374,0.0,0.0,22.0,0.0441,1,0.0011,61890.48,5.4
harrison,ohio,2833,2613,220,0.9223438051535475,0.07765619484645252,0.0,0.0,0.0,0.0,0.0,0.8174549396937254,0.18254506030627457,0.0,0.0,12.0,0.0519,1,0.0011,63348.78,5.4
henry,ohio,9451,9113,338,0.9642365887207703,0.03576341127922971,0.0,0.0,0.0,0.0,0.0,0.9356929212362911,0.06430707876370888,0.0,0.0,16.0,0.047599999999999996,1,0.0011,63969.98,5.1
highland,ohio,7671,5563,2108,0.7251988006778777,0.27480119932212227,0.0,0.0,0.0,0.0,0.0,0.8890996259417312,0.11090037405826879,0.0,0.0,19.0,0.051699999999999996,1,0.0011,63331.55,5.7
hocking,ohio,3421,3189,232,0.9321835720549547,0.0678164279450453,0.0,0.0,0.0,0.0,0.0,0.8800338800338801,0.11996611996611997,0.0,0.0,23.0,0.042699999999999995,1,0.0011,66788.32,5.7
holmes,ohio,2933,2470,463,0.8421411524036823,0.15785884759631777,0.0,0.0,0.0,0.0,0.0,0.9247326569783384,0.07526734302166165,0.0,0.0,7.0,0.0292,1,0.0011,63586.33,5.8
huron,ohio,12735,10707,2028,0.8407538280329799,0.15924617196702,0.0,0.0,0.0,0.0,0.0,0.9179183497392055,0.08208165026079454,0.0,0.0,15.0,0.0537,1,0.0011,59929.53,5.4
jackson,ohio,4780,4294,486,0.898326359832636,0.10167364016736402,0.0,0.0,0.0,0.0,0.0,0.8983957219251337,0.10160427807486631,0.0,0.0,20.0,0.052300000000000006,1,0.0011,64535.82,5.9
jefferson,ohio,15781,14855,926,0.9413218427222609,0.058678157277739056,0.0,0.0,0.0,0.0,0.0,0.8823775100401606,0.11762248995983936,0.0,0.0,22.0,0.0576,1,0.0011,64496.92,6.0
knox,ohio,18826,17221,1605,0.9147455646446404,0.0852544353553596,0.0,0.0,0.0,0.0,0.0,0.90820638058689,0.09179361941311005,0.0,0.0,21.0,0.0362,1,0.0011,64375.54,5.4
lake,ohio,76548,65047,11501,0.8497544024664263,0.1502455975335737,39.8,0.8191194736312062,0.0031723119272214577,0.011405216690724765,0.15667696129443753,0.9456392726582158,0.05436072734178417,4.5,18.5,16.0,0.0449,1,0.0011,70593.9,5.2
lawrence,ohio,18417,17322,1095,0.9405440625509041,0.05945593744909594,0.0,0.0,0.0,0.0,0.0,0.9007961963699483,0.0992038036300517,0.0,0.0,19.0,0.048600000000000004,1,0.0011,66520.46,5.7
licking,ohio,49245,44392,4853,0.9014519240532034,0.09854807594679663,21.5,0.7974208088143233,0.002413012053678136,0.018029297608614,0.16514335795667962,0.9415890742549066,0.058410925745093455,5.3,15.8,15.0,0.0353,1,0.0011,70377.56,5.4
logan,ohio,10821,8970,1851,0.8289437205433878,0.17105627945661214,0.0,0.0,0.0,0.0,0.0,0.8057657353003339,0.19423426469966606,0.0,0.0,20.0,0.036000000000000004,1,0.0011,63160.08,5.5
lorain,ohio,95087,87977,7110,0.9252263716386047,0.07477362836139535,45.2,0.836707115654987,0.0008667640354349518,0.012721639071265748,0.13720123940432152,0.9322470429727335,0.06775295702726643,6.5,23.2,13.0,0.053399999999999996,1,0.0011,65577.1,5.2
lucas,ohio,68111,61534,6577,0.9034370366020172,0.0965629633979827,41.6,0.8913279337925466,0.005586253879342972,0.01228774001463427,0.08201751066030832,0.9088270121460726,0.09117298785392737,6.5,31.0,43.0,0.0463,1,0.0011,65064.56,5.9
madison,ohio,12791,11832,959,0.9250254084903448,0.07497459150965523,0.0,0.0,0.0,0.0,0.0,0.9394425259003454,0.06055747409965466,0.0,0.0,21.0,0.0332,1,0.0011,71056.22,5.2
mahoning,ohio,80520,73744,6776,0.9158469945355191,0.08415300546448087,60.3,0.8724931328824173,0.0037904519990942295,0.01989741166277776,0.08905100865404496,0.9066849401327913,0.0933150598672087,9.2,36.8,29.0,0.0504,1,0.0011,63494.0,5.5
marion,ohio,17100,15137,1963,0.8852046783625731,0.1147953216374269,0.0,0.0,0.0,0.0,0.0,0.911657159572912,0.0883428404270879,9.5,26.9,41.0,0.046,1,0.0011,65908.04,6.1
medina,ohio,55931,51569,4362,0.9220110493286371,0.07798895067136292,37.5,0.0,0.0,0.0,0.0,0.9531455786294882,0.04685442137051178,2.8,15.0,9.0,0.0418,1,0.0011,70998.27,5.3
meigs,ohio,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8643065076533007,0.13569349234669922,0.0,0.0,15.0,0.0621,1,0.0011,64388.31,6.0
mercer,ohio,13980,13000,980,0.9298998569384835,0.07010014306151645,0.0,0.0,0.0,0.0,0.0,0.9105545617173524,0.08944543828264759,0.0,0.0,5.0,0.0277,1,0.0011,61036.31,5.0
